Conta;2019;2020;2021;2022;2023;2024
RECEITA CORRENTE;12766,43;15132,46;17313,99;20059,51;25405,72;28324,53
  Impostos, Taxas e Contribuições de Melhoria;7040,99;8147,71;9750,15;10864,83;15819,61;19784,51
    ICMS;5479,82;6116,12;7659,26;8498,53;13096,03;16657,68
    IPVA;286,42;320,3;346,19;373,11;428,48;456,75
  Transferências Correntes;4075,54;5124,89;5307,34;6184,11;6591,16;5643,7
    Cota-Parte do FPE;1066,39;1003,75;1371,53;1703,49;1754,82;1938,33
  Receitas Financeiras Correntes;64,11;47,62;186,97;671,52;637,59;497,97
  Demais Receitas Correntes;1585,78;1812,24;2069,53;2339,06;2357,35;2398,35
SALDO (A) - Receitas Primárias Correntes;12702,32;15084,83;17127,01;19388,0;24768,13;27826,56
RECEITA DE CAPITAL;105,04;285,48;369,26;276,77;332,32;227,05
  Receitas Financeiras de Capital;22,89;37,0;109,02;79,51;124,53;58,78
    Operações de Crédito;11,56;28,46;89,39;63,92;109,35;39,68
    Alienação de Bens;2,3;0,82;8,77;3,74;2,93;6,24
    Amortização de Empréstimos;9,03;7,72;10,85;11,85;12,25;12,86
  Transferências de Capital;82,15;248,45;260,22;197,25;207,79;168,27
  Outras Receitas de Capital;-0,0;0,03;0,02;0,0;0,0;-0,0
SALDO (B) - Receitas Primárias de Capital;82,15;248,48;260,24;197,25;207,79;168,27
RECEITA PRIMÁRIA TOTAL (C = A + B);12784,47;15333,31;17387,26;19585,25;24975,92;27994,83
DESPESA CORRENTE;13765,24;14224,26;16134,64;18903,51;20677,17;21844,8
  Pessoal e Encargos Sociais;10426,67;10569,63;11395,76;12597,76;13797,3;14136,58
  Juros e Encargos da Dívida;356,84;106,94;306,56;341,17;409,56;437,18
  Outras Despesas Correntes;2981,73;3547,69;4432,33;5964,58;6470,3;7271,05
SALDO (D) - Despesas Primárias Correntes;13408,4;14117,33;15828,09;18562,34;20267,6;21407,63
DESPESA DE CAPITAL;1301,05;1141,21;2467,67;4211,68;3681,65;3103,01
  Investimentos;1068,21;992,2;2004,11;3751,88;3262,99;2763,84
  Demais Inversões;0,0;4,27;104,12;68,52;0,92;15,91
  Despesas Financeiras de Capital;232,84;144,75;359,44;391,28;417,74;323,26
    Amortização da Dívida;232,84;144,75;359,44;391,28;417,74;323,26
SALDO (E) - Despesas Primárias de Capital;1068,21;996,46;2108,22;3820,4;3263,91;2779,75
DESPESA PRIMÁRIA TOTAL (F = D + E);14476,61;15113,79;17936,31;22382,74;23531,51;24187,38
RESULTADO PRIMÁRIO (G = C - F);-1692,14;219,52;-549,05;-2797,49;1444,41;3807,45
