Conta;2019;2020;2021;2022;2023;2024
RECEITAS PRIMÁRIAS;3473,63;3999,5;4541,62;4692,05;5070,71;5497,09
DESPESAS PRIMÁRIAS;3833,14;4065,69;4652,55;5427,98;5452,49;6100,38
RESULTADO PRIMÁRIO;-359,51;-66,19;-110,93;-735,94;-381,78;-603,29
RECEITAS FINANCEIRAS;107,9;82,27;134,51;267,75;211,06;126,66
  Receitas Financeiras Correntes (Valores Mobiliários);8,12;2,24;13,21;65,55;83,46;57,57
  Operações de Crédito;88,93;68,9;108,44;186,81;108,23;53,05
  Alienação de Bens;1,07;1,08;1,75;1,68;6,1;1,53
  Amortização de Empréstimos (Recebidas);9,78;10,05;11,11;13,71;13,27;14,51
DESPESAS FINANCEIRAS;79,27;60,95;116,84;120,24;153,31;173,43
  Juros e Encargos da Dívida;29,52;18,68;40,49;52,89;76,28;86,57
  Amortização da Dívida;49,75;42,27;76,34;67,35;77,03;86,86
RESULTADO ORÇAMENTÁRIO;-330,88;-44,87;-93,26;-588,42;-324,03;-650,06
