Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;80290524858,16
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;78619409490,02
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;42898928372,54
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;40719036423,42
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.2.00.0.0 - Impostos sobre o Patrimônio;siconfi-cor_RO1.1.1.2.00.0.0;2656328288,03
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.2.51.0.0 - Imposto sobre a Propriedade de Veículos Automotores;siconfi-cor_RO1.1.1.2.51.0.0;2354544921,02
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.2.52.0.0 - Imposto sobre Transmissão ¿Causa Mortis¿ e Doação de Bens e Direitos;siconfi-cor_RO1.1.1.2.52.0.0;301783367,01
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;3566811683,81
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;3566811683,81
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;3348507524,46
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;218304159,35
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.4.00.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.00.0.0;34495896451,58
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.4.50.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.50.0.0;34495896451,58
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.4.50.1.0 - Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação;siconfi-cor_RO1.1.1.4.50.1.0;33744504991,29
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza;siconfi-cor_RO1.1.1.4.50.2.0;751391460,29
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;2179891949,12
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;1240348828,42
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.1.01.0.0;1187632846,2
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.2.1.04.0.0 - Taxa de Controle e Fiscalização Ambiental;siconfi-cor_RO1.1.2.1.04.0.0;16602432,59
Governo do Estado da Bahia;29;BA;14985284;Receitas Brutas Realizadas;1.1.2.1.50.0.0 - Taxa de Fiscalização de Vigilância Sanitária;siconfi-cor_RO1.1.2.1.50.0.0;36113549,63
