Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;91115544039,55
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;89629832772,26
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;64571468604,63
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;61790743288,78
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.2.00.0.0 - Impostos sobre o Patrimônio;siconfi-cor_RO1.1.1.2.00.0.0;7135624581,04
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.2.51.0.0 - Imposto sobre a Propriedade de Veículos Automotores;siconfi-cor_RO1.1.1.2.51.0.0;5478861621,15
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.2.52.0.0 - Imposto sobre Transmissão ¿Causa Mortis¿ e Doação de Bens e Direitos;siconfi-cor_RO1.1.1.2.52.0.0;1656504413,93
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;"1.1.1.2.53.0.0 - Impostos sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis""";siconfi-cor_RO1.1.1.2.53.0.0;258545,96
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;3810308267,3
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;3810308267,3
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;3191021576,51
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;619286690,79
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.4.00.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.00.0.0;50844810440,44
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.4.50.0.0 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.4.50.0.0;50844810440,44
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.4.50.1.0 - Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação;siconfi-cor_RO1.1.1.4.50.1.0;50413517104,36
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.1.4.50.2.0 - Adicional ICMS - Fundo Estadual de Combate à Pobreza;siconfi-cor_RO1.1.1.4.50.2.0;431293336,08
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;2780725315,85
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;35719859,2
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.1.01.0.0;35719859,2
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.0.0;2745005456,65
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços em Geral;siconfi-cor_RO1.1.2.2.01.0.0;2077652362,6
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.2.2.02.0.0 - Emolumentos e Custas Judiciais;siconfi-cor_RO1.1.2.2.02.0.0;487678085,41
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.1.2.2.51.0.0 - Taxas Extrajudiciais;siconfi-cor_RO1.1.2.2.51.0.0;179675008,64
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;6000243728,7
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;6000243728,7
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Receitas Brutas Realizadas;1.2.1.5.00.0.0 - Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social;siconfi-cor_RO1.2.1.5.00.0.0;3264575687,47
