Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;54471182840,13
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;52667930087,36
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;30381000004,5
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;29115337244,2
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;2568575894,88
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;2568575894,88
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;2475235342,86
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;93340552,02
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios;siconfi-cor_RO1.1.1.8.00.0.0;26546761349,32
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios;siconfi-cor_RO1.1.1.8.01.0.0;1642534721,45
Governo do Estado da Bahia;29;BA;14873064;Receitas Brutas Realizadas;1.1.1.8.01.2.0 Imposto sobre a Propriedade de Veículos Automotores;siconfi-cor_RO1.1.1.8.01.2.0;1477076873,28
