Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;8207466751,46
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;7383753303,48
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;3945104894,01
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;3482576248,84
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;783473950,1
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;121044795,61
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;238148701,85
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.05.00 - Outros Benefícios Previdenciários do Servidor ou do Militar;siconfi-cor_DO3.1.90.05.00.00;774366,22
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;2192636528,01
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;53252975,63
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;52758302,94
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;494672,69
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;1110204,66
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;44451461,26
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;12658236,35
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;2619175,31
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DO3.1.90.96.00.00;32405853,84
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social;siconfi-cor_DI3.1.91.00.00.00;462528645,17
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.91.13.00 - Contribuições Patronais;siconfi-cor_DI3.1.91.13.00.00;439983387,8
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.91.13.99 - Outras Obrigações Patronais - Intraorçamentária;siconfi-cor_DI3.1.91.13.99.00;439983387,8
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.91.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DI3.1.91.92.00.00;20612621,28
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.1.91.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DI3.1.91.96.00.00;1932636,09
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.2.00.00.00 - Juros e Encargos da Dívida;siconfi-cor_DO3.2.00.00.00.00;71670416,77
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.2.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.2.90.00.00.00;71670416,77
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.2.90.21.00 - Juros sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.21.00.00;61666536,89
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.2.90.22.00 - Outros Encargos sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.22.00.00;10003879,88
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;3366977992,7
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.30.00.00 - Transferências a Estados e ao Distrito Federal;siconfi-cor_DO3.3.30.00.00.00;522693,63
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.30.41.00 - Contribuições;siconfi-cor_DO3.3.30.41.00.00;503000,00
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.30.81.00 - Distribuição Constitucional ou Legal de Receitas;siconfi-cor_DO3.3.30.81.00.00;19693,63
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.50.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos;siconfi-cor_DO3.3.50.00.00.00;614259862,18
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;2746819886,83
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.14.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;1661740,07
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.18.00 - Auxílio Financeiro a Estudantes;siconfi-cor_DO3.3.90.18.00.00;225000,00
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.20.00 - Auxílio Financeiro a Pesquisadores;siconfi-cor_DO3.3.90.20.00.00;597309,99
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.30.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;152081526,79
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.31.00 - Premiações Culturais, Artísticas, Científicas, Desportivas e Outras;siconfi-cor_DO3.3.90.31.00.00;12597236,29
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.32.00 - Material, Bem ou Serviço para Distribuição Gratuita;siconfi-cor_DO3.3.90.32.00.00;52365962,98
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.33.00 - Passagens e Despesas com Locomoção;siconfi-cor_DO3.3.90.33.00.00;6746197,8
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.34.00 - Outras Despesas de Pessoal decorrentes de Contratos de Terceirização;siconfi-cor_DO3.3.90.34.00.00;75625356,6
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.35.00 - Serviços de Consultoria;siconfi-cor_DO3.3.90.35.00.00;2709840,23
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.36.00 - Outros Serviços de Terceiros - Pessoa Física;siconfi-cor_DO3.3.90.36.00.00;88109823,4
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.37.00 - Locação de Mão-de-Obra;siconfi-cor_DO3.3.90.37.00.00;430013923,36
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.39.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO3.3.90.39.00.00;1406883589,65
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.40.00 - Serviços de Tecnologia da Informação e Comunicação (TIC) - Pessoa Jurídica;siconfi-cor_DO3.3.90.40.00.00;9277017,7
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.41.00 - Contribuições;siconfi-cor_DO3.3.90.41.00.00;2194809,48
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.46.00 - Auxílio-Alimentação;siconfi-cor_DO3.3.90.46.00.00;32456414,42
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.47.00 - Obrigações Tributárias e Contributivas;siconfi-cor_DO3.3.90.47.00.00;76472896,7
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.48.00 - Outros Auxílios Financeiros a Pessoas Físicas;siconfi-cor_DO3.3.90.48.00.00;15530716,58
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.3.90.91.00.00;13763802,97
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.3.90.92.00.00;332629664,91
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2643247;Despesas Empenhadas;3.3.90.93.00 - Indenizações e Restituições;siconfi-cor_DO3.3.90.93.00.00;34877056,91
