Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;1095725590,97
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;1051120120,8
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;154689542,46
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;153472194,09
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;28801447,52
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;28801447,52
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;28801447,52
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios;siconfi-cor_RO1.1.1.8.00.0.0;124670746,57
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios;siconfi-cor_RO1.1.1.8.01.0.0;45955612,84
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Receitas Brutas Realizadas;1.1.1.8.01.1.0 Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.8.01.1.0;34138459,8
