Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;993647854,39
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;891921985,46
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;467828709,99
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;413835267,85
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;38851741,04
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;3960770,88
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;5604917,55
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;327911923,81
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;17903220,89
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;17903220,89
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;10087879,05
Prefeitura Municipal de Rio Branco - AC;1200401;AC;407319;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;117240,18
