Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;82012415649,34
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;75199616732,42
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;53271409413,64
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;36977993384,71
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;15425174503,51
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;3698783301,28
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;727864,47
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.07.00 - Contribuição a Entidades Fechadas de Previdência;siconfi-cor_DO3.1.90.07.00.00;24043590,77
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;11446875099,81
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.12.00 - Vencimentos e Vantagens Fixas - Pessoal Militar;siconfi-cor_DO3.1.90.12.00.00;1998389784,93
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;813960308,35
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.13.01 - FGTS;siconfi-cor_DO3.1.90.13.01.00;53420330,05
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;729505562,54
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.13.09 - Seguros de acidentes do trabalho;siconfi-cor_DO3.1.90.13.09.00;405591,19
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.13.18 - Contribuição para o PIS/PASEP s/ folha Pagto.;siconfi-cor_DO3.1.90.13.18.00;5671365,33
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.13.40 - Encargos de pessoal requisitado de outros Entes;siconfi-cor_DO3.1.90.13.40.00;514302,76
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;24443156,48
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;560178081,44
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.17.00 - Outras Despesas Variáveis - Pessoal Militar;siconfi-cor_DO3.1.90.17.00.00;196561031,3
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;1834073149,75
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;854469508,53
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;70068241,98
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DO3.1.90.96.00.00;31704039,14
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.90.99.00 - A Classificar;siconfi-cor_DO3.1.90.99.00.00;22984879,45
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social;siconfi-cor_DI3.1.91.00.00.00;16293416028,93
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.13.00 - Contribuições Patronais;siconfi-cor_DI3.1.91.13.00.00;16213369559,94
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.13.08 - Contribuições previdenciárias - RPPS - pessoal ativo - plano previdenciário;siconfi-cor_DI3.1.91.13.08.00;197181896,89
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.13.10 - Contribuições previdenciárias - RPPS - pessoal inativo e pensionista - plano previdenciário;siconfi-cor_DI3.1.91.13.10.00;557516,87
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.13.11 - Contribuições previdenciárias - RPPS - pessoal ativo - plano financeiro;siconfi-cor_DI3.1.91.13.11.00;1956896097,18
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.13.12 - Contribuições previdenciárias - RPPS - pessoal inativo e pensionista - plano financeiro;siconfi-cor_DI3.1.91.13.12.00;4055741517,34
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.13.23 - Alíquota suplementar de contribuição previdenciária - pessoal inativo e pensionista - plano financeiro;siconfi-cor_DI3.1.91.13.23.00;10002794536,59
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.13.99 - Outras Obrigações Patronais - Intraorçamentária;siconfi-cor_DI3.1.91.13.99.00;197995,07
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.91.00 - Sentenças Judiciais;siconfi-cor_DI3.1.91.91.00.00;54488122,54
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DI3.1.91.92.00.00;12296159,72
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.1.91.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DI3.1.91.96.00.00;13262186,73
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.2.00.00.00 - Juros e Encargos da Dívida;siconfi-cor_DO3.2.00.00.00.00;852758375,43
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.2.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.2.90.00.00.00;852758375,43
Governo do Estado do Rio Grande do Sul;43;RS;11088065;Despesas Empenhadas;3.2.90.21.00 - Juros sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.21.00.00;844613692,91
