Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;77868037416,52
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;66882748870,12
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;33880927917,93
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio;siconfi-cor_DO3.1.71.00.00.00;66270347,85
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;31229191508,81
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;9976319663,81
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;1428429130,83
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;1508894707,12
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.07.00 - Contribuição a Entidades Fechadas de Previdência;siconfi-cor_DO3.1.90.07.00.00;20059927,67
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.08.00 - Outros Benefícios Assistenciais do Servidor e do Militar;siconfi-cor_DO3.1.90.08.00.00;96641487,65
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;11235096371,65
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.12.00 - Vencimentos e Vantagens Fixas - Pessoal Militar;siconfi-cor_DO3.1.90.12.00.00;2915956774,85
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;354800394,89
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;354800394,89
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;199569002,55
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.17.00 - Outras Despesas Variáveis - Pessoal Militar;siconfi-cor_DO3.1.90.17.00.00;437056349,19
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;966310625,1
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;456797106,75
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;49320291,62
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DO3.1.90.96.00.00;28953592,98
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.90.99.00 - A Classificar;siconfi-cor_DO3.1.90.99.00.00;1554986082,15
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social;siconfi-cor_DI3.1.91.00.00.00;2585466061,27
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.91.04.00 - Contratação por Tempo Determinado;siconfi-cor_DI3.1.91.04.00.00;2741371,25
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.91.08.00 - Outros Benefícios Assistenciais do Servidor e do Militar;siconfi-cor_DI3.1.91.08.00.00;137192008,2
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.91.13.00 - Contribuições Patronais;siconfi-cor_DI3.1.91.13.00.00;2376361555,69
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.91.13.99 - Outras Obrigações Patronais - Intraorçamentária;siconfi-cor_DI3.1.91.13.99.00;2376361555,69
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.91.91.00 - Sentenças Judiciais;siconfi-cor_DI3.1.91.91.00.00;3564225,83
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.1.91.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DI3.1.91.92.00.00;65606900,3
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.2.00.00.00 - Juros e Encargos da Dívida;siconfi-cor_DO3.2.00.00.00.00;1535885994,86
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.2.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.2.90.00.00.00;1535885994,86
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.2.90.21.00 - Juros sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.21.00.00;1448478321,89
Governo do Estado da Bahia;29;BA;14985284;Despesas Empenhadas;3.2.90.22.00 - Outros Encargos sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.22.00.00;87407672,97
